Unnamed: 0,LEA_STATE,SCH_ENR_BL_M,SCH_ENR_BL_F,SCH_ENR_WH_M,SCH_ENR_WH_F,SCH_DISCWODIS_REF_BL_M,SCH_DISCWODIS_REF_BL_F,SCH_DISCWODIS_REF_WH_M,SCH_DISCWODIS_REF_WH_F,SCH_DISCWODIS_ARR_BL_M,SCH_DISCWODIS_ARR_BL_F,SCH_DISCWODIS_ARR_WH_M,SCH_DISCWODIS_ARR_WH_F,SCH_DISCWODIS_CORP_BL_M,SCH_DISCWODIS_CORP_BL_F,SCH_DISCWODIS_CORP_WH_M,SCH_DISCWODIS_CORP_WH_F,SCH_DISCWODIS_EXPWE_BL_M,SCH_DISCWODIS_EXPWE_BL_F,SCH_DISCWODIS_EXPWE_WH_M,SCH_DISCWODIS_EXPWE_WH_F,SCH_DISCWODIS_EXPWOE_BL_M,SCH_DISCWODIS_EXPWOE_BL_F,SCH_DISCWODIS_EXPWOE_WH_M,SCH_DISCWODIS_EXPWOE_WH_F,SCH_DISCWODIS_ISS_BL_M,SCH_DISCWODIS_ISS_BL_F,SCH_DISCWODIS_ISS_WH_M,SCH_DISCWODIS_ISS_WH_F,SCH_DISCWODIS_SINGOOS_BL_M,SCH_DISCWODIS_SINGOOS_BL_F,SCH_DISCWODIS_SINGOOS_WH_M,SCH_DISCWODIS_SINGOOS_WH_F,SCH_DISCWODIS_MULTOOS_BL_M,SCH_DISCWODIS_MULTOOS_BL_F,SCH_DISCWODIS_MULTOOS_WH_M,SCH_DISCWODIS_MULTOOS_WH_F,total_enrollment,total_enrollment_bl,total_enrollment_wh,total_punishment,total_punishment_bl,total_punishment_wh,STATEFP,prop_punishment_bl,prop_punishment_wh,prop_bl,prop_wh,prop_punishment,prop_punishment_comp
36,OH,144487,137467,630976,587971,402,268,857,499,142,84,192,105,2,0,6,3,559,430,243,76,566,361,723,256,12562,8767,19677,8099,11651,8274,16765,6599,11086,6044,7771,2360,1500901,281954,1218947,125429,61198,64231,39,0.040774174978896,0.0427949611599966,0.187856494199151,0.812143505800849,0.0835691361388926,0.1643557481616
37,OK,30612,28889,174841,164345,223,148,646,341,91,59,152,71,133,46,1589,307,40,18,366,139,10,9,78,18,4298,2738,11145,4666,2199,1355,5460,1984,1257,640,2141,599,398687,59501,339186,42966,13264,29702,40,0.0332692061692506,0.0744995447556605,0.149242388139066,0.850757611860933,0.10776875092491099,0.13535215042744198
38,OR,6947,6674,186638,174505,6,2,388,197,2,1,74,38,0,0,0,0,9,1,239,129,10,3,60,24,347,165,6412,2322,316,175,4538,1864,183,98,2059,606,374764,13621,361143,20268,1318,18950,41,0.00351687995645259,0.0505651556713025,0.0363455401265863,0.963654459873414,0.0540820356277551,0.0442900628800632
39,PA,129292,123890,583344,547745,2210,1690,3680,1456,346,258,859,350,0,0,0,0,260,220,471,168,44,20,66,29,7167,4685,18368,7101,9102,6984,11324,4247,6499,3984,4973,1623,1384271,253182,1131089,98184,43469,54715,42,0.0314020881749311,0.0395262199381479,0.182899157751625,0.817100842248375,0.070928308113079,0.12331698510922501
40,PR,36,24,236,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,60,466,0,0,0,72,0.0,0.0,0.114068441064639,0.8859315589353609,0.0,0.0
41,RI,6213,5952,42026,39247,34,23,66,42,14,14,28,24,0,0,0,0,2,2,6,8,0,0,0,0,157,108,1126,477,309,192,872,419,172,93,419,163,93438,12165,81273,4770,1120,3650,44,0.0119865579314626,0.0390633361159271,0.130193283246645,0.869806716753355,0.0510498940473897,0.0471570426585722
42,SC,134734,129400,204830,192305,708,465,522,282,310,193,249,126,5,0,9,0,707,332,236,97,472,194,239,104,22846,15729,17876,7990,11386,7842,8137,3480,11362,6135,4697,1619,661269,264134,397135,124349,78686,45663,45,0.118992422145904,0.0690535924109553,0.3994350256854621,0.6005649743145379,0.18804601455685999,0.182920770776363
43,SD,2303,2112,52477,49283,32,17,281,116,3,2,78,35,0,0,0,0,0,0,8,0,0,0,7,0,219,84,2192,698,81,42,616,205,65,29,334,95,106175,4415,101760,5239,574,4665,46,0.0054061690605133,0.0439368966329174,0.0415822933835649,0.9584177066164351,0.0493430656934307,0.0841681646509541
44,TN,106101,103052,324398,303673,365,224,1311,518,221,134,471,183,688,209,1717,324,1678,710,1553,486,716,310,266,94,14899,9354,23017,9437,8082,4931,8059,2978,12276,6861,3558,1010,837224,209153,628071,116640,61658,54982,47,0.0736457626632777,0.0656717915396596,0.249817253208221,0.7501827467917791,0.13931755420293698,0.20725748634994898
45,TX,348319,331645,768230,717895,1898,1098,1590,646,1116,605,735,293,1403,392,4465,858,1275,638,1485,550,101,61,141,78,50302,29438,55670,21676,18914,12743,12068,4828,11305,6330,4115,1359,2166089,679964,1486125,248176,137619,110557,48,0.0635334005204772,0.0510399157190679,0.313913232558773,0.686086767441227,0.11457331623954499,0.127998797134916
46,UT,5031,4472,253622,238318,40,12,700,242,5,0,71,22,0,0,0,0,31,6,331,126,4,1,33,17,120,36,2403,764,200,62,3058,933,88,24,998,205,501443,9503,491940,10532,629,9903,49,0.00125437985972483,0.0197490043733784,0.0189513065293563,0.981048693470644,0.0210033842331033,0.0460591206091934
47,VA,148078,141653,328247,305769,3277,1684,3521,1314,462,316,270,114,0,0,0,0,101,49,139,40,16,3,15,10,13409,7839,13612,5163,9460,6043,7580,2886,7579,3990,4009,1174,923747,289731,634016,94075,54228,39847,51,0.0587043855081532,0.0431362699960054,0.313647568002927,0.686352431997073,0.101840655504159,0.124318145068209
48,VT,1024,978,38741,35875,5,0,100,36,0,0,2,1,0,0,0,0,0,1,20,3,0,0,17,2,45,16,1269,470,32,23,654,275,20,2,370,115,76618,2002,74616,3478,144,3334,50,0.00187945391422381,0.0435145788195985,0.0261296301130283,0.9738703698869721,0.0453940327338223,0.0272459662134799
49,WA,25436,23924,313240,291817,73,12,565,323,26,3,313,225,0,0,1,0,24,9,343,114,52,15,197,67,1390,644,8537,2928,1234,646,6834,2770,766,299,2951,862,654417,49360,605057,32223,5193,27030,53,0.00793530730405842,0.0413039392314075,0.075425913446625,0.924574086553375,0.0492392465354659,0.0605331680124146
50,WI,40917,38390,311072,290694,500,429,2055,1052,135,121,290,142,0,0,12,2,70,57,145,47,26,11,141,54,1990,1255,7708,2504,3051,2533,5169,2003,2369,1782,1906,539,681073,79307,601766,38098,14329,23769,55,0.0210388607388635,0.034899342654899,0.116444199079981,0.883555800920019,0.0559382033937625,0.141178877846289
51,WV,6194,5451,126281,118183,12,5,233,61,2,3,16,4,0,0,0,0,15,4,289,90,0,0,8,0,764,396,7986,3374,471,266,4945,2398,372,167,2545,882,256109,11645,244464,25308,2477,22831,54,0.009671663237137309,0.089145637209157,0.0454689214357949,0.954531078564205,0.0988173004462943,0.11931724321494501
52,WY,590,477,37769,35189,4,3,334,115,0,0,8,1,0,0,0,0,2,1,40,10,0,0,10,2,34,16,2200,723,25,12,883,311,14,4,376,99,74025,1067,72958,5227,115,5112,56,0.00155352921310368,0.0690577507598784,0.0144140493076663,0.9855859506923341,0.0706112799729821,0.0377111089296013
